country,first_half_patents,second_half_patents,delta,growth_pct,total_patents
CN,15,283,268,17.8667,298
KR,34,284,250,7.3529,318
IL,14,49,35,2.5,63
TW,66,195,129,1.9545,261
AU,23,37,14,0.6087,60
CA,90,143,53,0.5889,233
BE,23,32,9,0.3913,55
GB,124,159,35,0.2823,283
FI,19,21,2,0.1053,40
SE,59,61,2,0.0339,120
JP,841,862,21,0.025,1703
IT,60,55,-5,-0.0833,115
US,2956,2631,-325,-0.1099,5587
DE,402,323,-79,-0.1965,725
AT,22,17,-5,-0.2273,39
FR,164,120,-44,-0.2683,284
CH,82,58,-24,-0.2927,140
NL,61,42,-19,-0.3115,103
DK,18,12,-6,-0.3333,30
IN,0,67,67,,67
